"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"8cfd8cbb-34b0-4c16-949c-444c51486cea","Rhode Island","char-offset:33319","PLACE","http://sws.geonames.org/5224323","Rhode Island","41.677343293277055","-71.55824239471691","","UNVERIFIED","",""
"bdc15d99-31d2-464b-a31b-091c734bac51","Coventry","char-offset:33502","PLACE","http://sws.geonames.org/2652221","Coventry","52.40656","-1.51217","","UNVERIFIED","",""
"281d109b-7031-461f-8eb9-e93f498365a3","R.I.","char-offset:33512","PLACE","","","","","","UNVERIFIED","",""
"5915413b-bef1-4669-a605-ce64673fccde","Providence","char-offset:33521","PLACE","http://sws.geonames.org/5224151","Providence","41.82399","-71.41283","","UNVERIFIED","",""
"40a911b6-773f-4eaa-9484-1abaa074fde4","Greene Station","char-offset:33624","PLACE","","","","","","UNVERIFIED","",""
"0ec6e6eb-406d-45b1-a598-2dd0ca93a6ad","Broad Street","char-offset:33822","PLACE","","","","","","UNVERIFIED","",""
"588aef21-b940-408c-a1c0-858d8d4ce3f7","Westminster Street","char-offset:33884","PLACE","","","","","","UNVERIFIED","",""
"f4cc81e4-8e25-4d30-965f-58b623c8905e","Norristown","char-offset:34122","PLACE","http://sws.geonames.org/5162044","Martins Ferry","40.09591","-80.72453","","UNVERIFIED","",""
"3e1385e4-d9e4-41d7-a3c8-df768eb27e86","Philadelphia","char-offset:34134","PLACE","http://sws.geonames.org/4560349","Philadelphia","39.95233","-75.16379","","UNVERIFIED","",""
"9ee54812-81c4-47ef-a413-1b8522119e5d","Rhode Island","char-offset:34451","PLACE","http://sws.geonames.org/5224323","Rhode Island","41.677343293277055","-71.55824239471691","","UNVERIFIED","",""
"48d189f6-da75-462b-a340-08f4e6e84f87","Norristown","char-offset:34482","PLACE","http://sws.geonames.org/5162044","Martins Ferry","40.09591","-80.72453","","UNVERIFIED","",""
"54ae92ca-6d5c-4251-8857-fd05d2d0ca4b","Philadelphia","char-offset:34559","PLACE","http://sws.geonames.org/4560349","Philadelphia","39.95233","-75.16379","","UNVERIFIED","",""
"e49b5e96-7b22-45c2-a359-beec938d052c","Providence","char-offset:35516","PLACE","http://sws.geonames.org/5224151","Providence","41.82399","-71.41283","","UNVERIFIED","",""
"c06da99d-9684-4cf5-af22-6fec656b0031","Broad Street","char-offset:35571","PLACE","","","","","","UNVERIFIED","",""
"87df2125-991b-49a3-8703-4f0e98c118f5","Westminster Street","char-offset:35613","PLACE","","","","","","UNVERIFIED","",""
"52362241-0c96-4b91-a717-d3205d456966","Norristown","char-offset:36262","PLACE","http://sws.geonames.org/5162044","Martins Ferry","40.09591","-80.72453","","UNVERIFIED","",""
"be349dc7-575c-4b3d-a31f-95c05f55b1b6","France","char-offset:37825","PLACE","http://sws.geonames.org/3017382","France","46.557575440537526","2.5522572848112075","","UNVERIFIED","",""
"5fd33195-3d43-4338-b3dc-60704f7adc3a","Bonneval","char-offset:39398","PLACE","http://sws.geonames.org/3031702","Bonneval","48.18312","1.38524","","UNVERIFIED","",""
"0499ab0d-f7f6-420b-9a78-9fc654fc6d32","Bonneval","char-offset:40066","PLACE","http://sws.geonames.org/3031702","Bonneval","48.18312","1.38524","","UNVERIFIED","",""
"c6e8f651-b3c0-4c1a-9766-5ac77edaa685","Rochefort","char-offset:40201","PLACE","http://sws.geonames.org/2983276","Rochefort","45.93333","-0.98333","","UNVERIFIED","",""
"f696f181-b28e-4f1b-9921-1e9e7a5fcb5c","Rochefort","char-offset:40325","PLACE","http://sws.geonames.org/2983276","Rochefort","45.93333","-0.98333","","UNVERIFIED","",""
"4d5309c6-c0b0-47b6-a7ae-be9fbddbd2a4","Bonneval","char-offset:40543","PLACE","http://sws.geonames.org/3031702","Bonneval","48.18312","1.38524","","UNVERIFIED","",""
"e7f07a23-1345-4b8e-9b7a-91a76f434274","Bicetre","char-offset:40577","PLACE","","","","","","UNVERIFIED","",""
"6f8ff7a0-c49e-48bf-ab41-6d29ab4568dd","Rochefort","char-offset:40713","PLACE","http://sws.geonames.org/2983276","Rochefort","45.93333","-0.98333","","UNVERIFIED","",""
"83bc03a4-6733-41c3-9699-362a43e1807f","Rochefort","char-offset:41559","PLACE","http://sws.geonames.org/2983276","Rochefort","45.93333","-0.98333","","UNVERIFIED","",""
"7e3d9575-d4c7-4042-b8b1-6348e534c589","Bonneval","char-offset:41657","PLACE","http://sws.geonames.org/3031702","Bonneval","48.18312","1.38524","","UNVERIFIED","",""
"527522f4-95f4-4dd7-aae2-0fbf3ac7cd96","Bicetre","char-offset:41692","PLACE","","","","","","UNVERIFIED","",""
